fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
fig-006472,1,"LEGOLAND White Torso, Blue Legs, Red Cowboy Hat, Black Scarf",5,5539,372-1,Texas Rangers,1977,424
fig-006473,1,"LEGOLAND Red Torso, Black Legs, Black Cowboy Hat, White Scarf",5,5539,372-1,Texas Rangers,1977,424
fig-008740,1,"Woman, Plain Black Torso, Blue Legs, Black Hair",4,12908,1589-1,Town Square,1978,67
fig-005101,1,"Woman - Red Torso, Blue Legs, Black Tails",4,99370,1589-1,Town Square,1978,67
fig-000534,1,"Black Torso, Black Legs, White Hat",4,99370,1589-1,Town Square,1978,67
fig-000289,1,"Man, Plain Red Torso, Black Legs, Blue Hat",4,12908,1589-1,Town Square,1978,67
fig-008741,1,"Man, Plain Black, Black Cowboy Hat",4,99370,1589-1,Town Square,1978,67
fig-008155,1,"Coast Guard, Blue Torso, White Legs, White Helmet, Airtanks",5,15632,575-2,Coast Guard Station (Canadian Edition),1978,67
fig-008154,1,"Man, Blue Torso, White Legs, White Helmet",4,15632,575-2,Coast Guard Station (Canadian Edition),1978,67
fig-000650,1,"Woman - White Torso, Red Legs, Black Hair",4,10321,623-1,Medic's Car,1978,67
fig-004391,1,"Woman - White Torso, Black Legs",4,2048,164-1,Passenger Wagon,1978,235
fig-009002,1,"Man, Black Torso, Blue Legs, Red Hat",4,12467,376-2,Town House with Garden,1978,67
fig-001178,1,"Fireman, Plain Black, Black Helmet, Light Gray Airtanks",5,5202,640-2,Fire Truck and Trailer,1978,67
fig-000342,3,"Fireman, Plain Black, Black Helmet",4,16041,590-1,Engine Co. No. 9,1978,67
fig-004401,1,"Woman - Blue Torso, Red Legs",4,7671,1620-2,Factory,1978,67
fig-000134,1,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5,7041,670-1,Mobile Crane,1978,67
fig-000833,1,"Man, Plain Blue Torso, Black Legs, Blue Hat, Yellow Vest",5,4303,605-1,Street Sweeper,1978,67
fig-008725,1,"Man, Plain Blue, Red Hat",4,7671,1620-2,Factory,1978,67
fig-004975,1,"Man - Blue Torso, Blue Legs, Black hat",4,2048,164-1,Passenger Wagon,1978,235
fig-004438,1,Knight (Yellow Castle) - White,5,12449,375-2,Castle,1978,189
fig-001191,1,"Policeman, Plain Black, White Helmet (193au Helmet)",4,3190,644-2,Police Mobile Patrol,1978,67
fig-006375,1,"Woman, Plain Red Torso, Black Legs, Black Hair",4,6494,297-1,Nursery,1978,405
fig-004965,1,"Man - Red Torso, Blue Legs, Black Hat",4,1407,165-1,Cargo Station,1978,235
fig-004695,1,"Man - White Torso, Black Legs, Blue Cap",4,1407,165-1,Cargo Station,1978,235
fig-004970,1,"Man - Blue Jacket, Black Legs, Red Hat",4,499,167-1,Loading Ramp and Car Transport Wagon,1978,235
fig-004973,1,"Man - Blue Torso, Blue Legs, Yellow Helmet, Yellow Vest",5,499,167-1,Loading Ramp and Car Transport Wagon,1978,235
fig-010693,1,"Man - Black Torso, Black Legs, Yellow Hat, Yellow Vest (3626a Head)",5,12822,166-1,Flat Wagon,1978,235
fig-000641,1,"Man, White Torso, Blue Legs, Red Hat",4,2950,377-1,Shell Service Station,1978,67
fig-004441,1,Knight (Yellow Castle) - White with Visor,6,12449,375-2,Castle,1978,189
fig-000834,1,"Man, Red Torso, Blue Legs, Red Hard Hat",4,11221,625-1,Tractor,1978,67
fig-001193,1,"Man, Plain Red Torso, Black Legs, Blue Helmet",4,11936,603-1,Motorbike,1978,67
fig-005950,1,"Female, Plain White Torso and Legs, Black Pigtails Hair",4,2928,208-1,Mother with Baby Carriage,1978,364
fig-008153,3,"Man, Blue Torso, White Legs, White Hat",4,998,575-1,Coast Guard Station,1978,67
fig-004420,1,Knight (Yellow Castle) - Black,5,12449,375-2,Castle,1978,189
fig-004436,1,Knight (Yellow Castle) - Red with Visor,6,12449,375-2,Castle,1978,189
fig-004423,1,Knight (Yellow Castle) - Black with Visor,6,12449,375-2,Castle,1978,189
fig-004424,7,Knight (Yellow Castle) - Blue,5,12449,375-2,Castle,1978,189
fig-004427,1,Knight (Yellow Castle) - Blue with Visor,6,12449,375-2,Castle,1978,189
fig-006377,1,"Female, Plain White Torso and Blue Legs, Black Pigtails Hair",4,2950,377-1,Shell Service Station,1978,67
fig-004433,1,Knight (Yellow Castle) - Red,5,12449,375-2,Castle,1978,189
fig-000020,1,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5,782,920-2,Rocket Launch Pad,1979,130
fig-000225,1,"Policeman, Black Suit with Pocket and Badge, White Hat (3626a Head)",4,284,588-1,Police Headquarters,1979,67
fig-001127,2,"Classic Spaceman, White with Airtanks (3842a Helmet)",5,782,920-2,Rocket Launch Pad,1979,130
fig-004494,2,Knight (Thirded Shield) - Black Legs,4,6216,383-2,Knight's Tournament,1979,189
fig-000344,1,"Man, Blue Shirt with Buttons and Pockets, Blue Legs, Brown Hair",4,136179,588-1,Police Headquarters,1979,67
fig-000039,2,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",4,136179,588-1,Police Headquarters,1979,67
fig-004513,1,Prince (Knights Tournament),4,6216,383-2,Knight's Tournament,1979,189
fig-004514,1,Princess (Knights Tournament),4,6216,383-2,Knight's Tournament,1979,189
fig-004486,1,"Knight (Halved Shield) - Light Gray Legs, Neck-Protector",4,13351,0016-1,Castle Mini Figures,1979,186
fig-010424,2,"Classic Spaceman, White with Airtanks (3842a Helmet), Plain Torso",5,72788,926-1,Command Centre,1979,130
fig-004516,1,"Knight (Quartered Shield) - Red Legs, Black Visor",5,6216,383-2,Knight's Tournament,1979,189
fig-004497,1,"Knight (Quartered Shield) - Red Legs, Neck-Protector",4,13351,0016-1,Castle Mini Figures,1979,186
fig-004515,1,"Knight (Quartered Shield) - White Legs, Red Visor",5,6216,383-2,Knight's Tournament,1979,189
fig-000686,1,"Man, Blue Shirt with Buttons and Pockets, Black Legs, Black Hat",4,13160,646-1,Auto Service Truck,1979,67
fig-005110,1,"Chef - White Torso, Light Gray Legs (3626b Head)",4,12841,675-1,Snack Bar,1979,67
fig-008743,1,"Man, Black Vest over Blue Shirt, Black Legs, Brown Hair",4,12841,675-1,Snack Bar,1979,67
fig-006376,1,"Female, Plain White Torso and Legs, Red Pigtails Hair",4,9679,261-1,Bathroom,1979,405
fig-008722,1,"Woman, Black Vest over Red Top, Blue Legs, Black Hair",4,13539,379-1,Bus Station,1979,67
fig-008723,2,"Man, Blue Jacket with Tie and Three Buttons, Red Legs, Red Hat",4,13539,379-1,Bus Station,1979,67
fig-008724,1,"Man, Black Vest over Blue Shirt, Black Legs, Black Hair",4,13539,379-1,Bus Station,1979,67
fig-001124,1,"Man - Red Torso, Blue Legs, Red Hat",4,10937,554-1,Fuel Pumper,1979,67
fig-000341,2,"Classic Spaceman, Yellow with Airtanks (3842b Helmet)",5,5004,0014-1,Space Mini-Figures,1979,143
fig-006378,1,"Football Player, Plain Blue Torso and White Legs, Brown Hair (3626a Head)",4,8391,268-1,Family Room,1979,405
fig-006908,1,"Classic Spaceman, Yellow with Airtanks (3842a Helmet)",5,12208,0015-1,Space Mini-Figures,1979,143
fig-002480,4,"Knight (Halved Shield) - Black Legs, Neck-Protector",4,10748,677-1,Knight's Procession,1979,189
fig-002481,2,"Knight (Halved Shield) - Light Gray Legs, Chin-Guard",4,10748,677-1,Knight's Procession,1979,189
fig-006379,1,"Female, Plain Blue Torso and Legs, Black Pigtails Hair, Yellow Bib",5,12169,269-1,Kitchen,1979,405
fig-010423,2,"Classic Spaceman, Red with Airtanks (3842a Helmet), Plain Torso",5,72788,926-1,Command Centre,1979,130
fig-000653,1,"Man, Open Black Jacket over Red Shirt, Blue Legs, Black Cap",4,680,608-2,Taxi,1979,67
fig-000652,1,"Construction Worker, Blue Torso, Black Legs, Red Hard Hat, Yellow Vest",5,15725,607-1,Mini Loader,1979,67
fig-008473,1,"Construction Worker, Blue Shirt with Pockets and Buttons, Black Legs, Red Hard Hat, Yellow Vest",5,4045,542-1,Street Crew,1979,67
fig-008472,1,"Man, Black Vest over Blue Shirt, Black Legs, Red Hard Hat",4,4045,542-1,Street Crew,1979,67
fig-008214,1,"Doctor, Woman, White Torso with Stethoscope and Red Cross, Red Legs, Black Hair (3626a Head)",4,7323,6364-1,Paramedic Unit,1980,67
fig-001268,1,"Man, Red Jacket with Zipper and Pockets, Maersk Blue Hard Hat",4,14402,1651-2,Maersk Line Container Truck,1980,67
fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,2619,7760-1,Diesel Shunter Locomotive,1980,234
fig-005114,1,"Man - Blue Torso, Blue Legs, Red Helmet, Yellow Vest",5,2619,7760-1,Diesel Shunter Locomotive,1980,234
fig-000285,1,"Man, Blue Shirt, Blue Legs, Red Hard Hat",4,5748,7720-1,"Diesel Freight Train Set, battery",1980,235
fig-000733,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,5748,7720-1,"Diesel Freight Train Set, battery",1980,235
fig-000726,1,"Man, Red Top with Exxon Logo, Black Legs, Black Hat",4,8066,6679-2,Exxon Tow Truck,1980,67
fig-008733,1,"Woman, White Shirt with Gold Necklace, Red Legs, Black Hair",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-008731,4,"Knight, Blue Torso, Black Legs, Dark Gray Helmet",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-000722,1,"Man, Plain Red Torso, Black Legs, Red Hard Hat, Yellow Vest",5,932,6647-1,Highway Repair,1980,67
fig-004390,1,"Man - Red Torso, Blue Legs",4,6590,5233-1,Bedroom,1980,405
fig-008732,1,"Chef, Red Neckerchief, White Legs, Top Hat",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-008734,1,"Man, Blue Vest over White Shirt, Top Hat",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-008735,1,"Man, Black Vest over Red Shirt, Red Legs, Brown Hair",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-008215,1,"Man, Black Vest over Red Shirt, Black Legs, Brown Hair",4,7323,6364-1,Paramedic Unit,1980,67
fig-008142,1,"Doctor, Woman, White Jacket with Red Cross, Red Hair",4,13301,1062-1,Town Vehicles,1980,533
fig-005123,1,"Man - Red Torso, Black Legs, Black Hat",4,159,7740-1,Inter-City Passenger Train,1980,234
fig-005122,1,"Man - Blue Torso, Red Legs, Black Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
fig-005120,1,"Man - Black Torso, White Legs, Brown Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
fig-008752,2,"Man, Red Jacket with Zipper, Blue Legs, Red Hard Hat",4,8700,6390-1,Main Street,1980,67
fig-008751,1,"Man, Blue Jacket with Tie and Three Buttons, Black Legs, Black Cowboy Hat",4,8700,6390-1,Main Street,1980,67
fig-000719,1,"Man, Blue Shirt with Buttons and Pockets, Black Legs, Red Hard Hat",4,8700,6390-1,Main Street,1980,67
fig-008753,1,"Chef, Red Neckerchief, Black Legs (3626a Head)",4,8700,6390-1,Main Street,1980,67
fig-008489,1,"Policeman, Black Suit with Badge, Black Hat",4,8700,6390-1,Main Street,1980,67
fig-005119,1,"Woman - Blue Torso, White Legs, Black tails",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-000165,1,"Red Torso, Blue Legs, Blue Cap",4,988,7834-1,Level Crossing Manual,1980,234
fig-000531,1,"Man, Red Jacket with Zipper, Red Legs, Black Hat",4,9030,6363-1,Auto Service Station,1980,67
fig-000040,1,"Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat",4,10734,6627-1,Convertible,1980,67
fig-005121,1,"Man - Blue Torso, Blue Legs, Brown Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
fig-005100,1,"Man - Red Torso, Black Legs Brown Hair",4,13301,1062-1,Town Vehicles,1980,533
fig-008140,1,"Man, Blue Torso, Red Legs, Black Hat",4,13301,1062-1,Town Vehicles,1980,533
fig-008141,1,"Policewoman, Black Suit with Badge, White Hair",4,13301,1062-1,Town Vehicles,1980,533
fig-001196,1,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, Black Helmet",4,13301,1062-1,Town Vehicles,1980,533
fig-008730,1,"LEGOLAND Black, Top Hat",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-010313,1,"White Torso, Blue Legs, Red Hat",4,4442,7816-1,Shell Tanker Wagon,1980,235
fig-008810,1,"Woman, Red Torso with Exxon Logo, Blue Legs, Black Hair",4,13621,6375-2,Exxon Gas Station,1980,67
fig-000100,1,"Man, Blue Torso, Black Legs, Red Hard Hat",4,411,6678-1,Excavator,1980,67
fig-001225,1,"Man, Red Torso with Exxon Logo, Blue Legs, Red Hat",4,13621,6375-2,Exxon Gas Station,1980,67
fig-005102,1,"Man - White Torso, Red Legs, Red Hat",4,9627,7710-1,Push-Along Passenger Steam Train,1980,235
fig-008736,1,"Man, Blue Suit with Tie and Three Buttons, Blue Hat",4,14106,1592-1,Town Square - Castle Scene,1980,67
fig-000713,1,"Man, White Torso with Red and Blue Stripes, Blue Legs, Red Helmet",4,8429,6609-1,Race Car,1980,67
fig-008996,1,"Woman, Black Vest over Red Top, Red Legs, Black Hair",4,9824,6365-1,Summer Cottage,1981,67
fig-008222,1,"Doctor, White Jacket with Red Cross, White Legs, Red Hat",4,11676,6680-1,Ambulance,1981,67
fig-004402,1,"Woman - Blue Torso, Blue Legs",4,3912,555-2,Basic Set,1981,469
fig-000727,2,"Doctor, White Jacket with Red Cross, White Legs, Red Helmet",4,7195,6691-1,Red Cross Helicopter,1981,67
fig-000170,1,"Man - White Torso, Black Legs, Red Hat, Black Legs",4,3912,555-2,Basic Set,1981,469
fig-008221,1,"Doctor, Woman, White Jacket with Red Cross, White Legs, Black Pigtails",4,11676,6680-1,Ambulance,1981,67
fig-000385,1,"Man, Plain Red, Red Hat",4,15816,566-1,Basic Set,1981,469
fig-000208,1,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet  (3626a Head)",4,4893,6611-1,Fire Chief's Car,1981,67
fig-004400,1,"Man - Red Torso, Black Legs",4,14219,577-1,Basic Set,1981,469
fig-000717,1,"Doctor, Woman, White Jacket with Red Cross, Black Hair",4,13595,6629-1,Ambulance,1981,67
fig-000811,1,"Policeman with Zipper Jacket, White Hat",4,13578,6681-1,Police Van,1981,67
fig-001195,1,"Woman, White Torso with Shell Logo, Blue Legs, Black Pigtails Hair",4,4361,6610-1,Shell Petrol Pumps,1981,67
fig-000614,1,"Blue Torso, Black Legs, Red Hat",4,1821,544-1,Basic Set,1981,469
fig-008015,1,"Woman, Black Vest over Red Top, Black Legs, Black Hair",4,1406,6382-1,Fire Station,1981,67
fig-008139,1,"Woman, Black Vest over Blue Top, White Legs, Red Hair",4,8812,1064-1,Dacta Buildings,1981,533
fig-011079,3,"Red Torso, Red Legs, White Hair",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-000218,1,Man with Blue Torso and Black Pants,4,8935,4005-1,Tug Boat,1982,363
fig-008115,1,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, Black Hat",4,4535,4025-1,Fire Boat,1982,363
fig-001198,1,"Man, Plain Red, Black Hair",4,3082,599-1,Super Basic Set,1982,469
fig-001142,1,"Man, Plain Blue Torso, Black Legs, Blue Hat",4,4185,6607-1,Service Truck,1982,67
fig-008478,3,"Woman, White Top with Yellow Necklace, Blue Legs, Red Hair",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-008993,1,"Man, Red Jacket with Zipper and Pockets, Black Legs, Black Hair",4,8745,6372-1,Town House,1982,67
fig-011073,3,"Doctor - White Legs, Female, Black Hair",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-011075,3,"Black Torso, White Legs, Light Grey Helmet",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-000729,1,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, White Helmet (3842a Helmet)",4,385,6685-1,Fire Copter 1,1982,67
fig-011076,3,"Blue Torso, Red Legs, White Cap",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-011077,3,"White Torso, Blue Legs, Brown Hair - 3626a Head",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-008481,1,"Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Black Hair",4,8745,6372-1,Town House,1982,67
fig-011078,3,"Blue Torso, White Legs, Black Hair",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-011074,3,"Red Torso, Zipper, Red Legs, Red Helmet",4,4269,1066-1,36 Little People + Accessories,1982,533
fig-001167,1,"Man, Blue Jacket with Highway Logo, Blue Legs, White Hat",4,3508,6653-1,Highway Emergency Van,1982,67
fig-008480,1,"Man, Blue Jacket with Tie and Three Buttons, Black Legs, Black Hat",4,3322,6302-1,Mini-Figure Set,1982,67
fig-008479,1,"Man, Black Jacket over Red Shirt, White Legs, Brown Hair",4,3322,6302-1,Mini-Figure Set,1982,67
fig-000674,1,"Postal Worker, Red Shirt with Horn Logo, Black Legs, Black Hat (3626a Head)",4,5125,6651-1,Post Office Van,1982,67
fig-008737,1,"Man, Black Jacket over Red Shirt, Light Gray Legs, Brown Hair (3626a Head)",4,3397,1590-2,Breakdown Assistance (ANWB Version),1982,67
fig-008305,1,"Black Torso Shirt, Black Legs, Black Hat",4,10526,4015-1,Freighter,1982,363
fig-000549,1,"Blue Torso Shirt, Blue Legs, Black Hat",4,10526,4015-1,Freighter,1982,363
fig-001482,1,"Man, Black Torso with Blue Arms, Blue Legs, Brown Hair",4,5455,6608-1,Tractor,1982,67
fig-008738,3,"Man, Black Shirt with Buttons and Pockets, Black Legs, White Hat",4,3397,1590-2,Breakdown Assistance (ANWB Version),1982,67
fig-008812,1,"Man, White Torso with Shell Logo, Black Legs, White Cap",4,1637,6371-1,Shell Service Station,1983,67
fig-008811,1,"Man, Red Jacket with Zipper and Pockets, Red Legs, White Helmet",4,1637,6371-1,Shell Service Station,1983,67
fig-008483,1,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Red Helmet",4,9816,6002-1,Town Figures,1983,67
fig-004698,1,"Man - Red Torso, Light Grey Legs",4,7832,710-3,Universal Building Set,1983,469
fig-004699,1,"Woman - Red/White Striped Shirt, White Arms, Black Legs",4,7832,710-3,Universal Building Set,1983,469
fig-008482,2,"Fireman, Classic, Black Fire Jacket with Red Belt and Buttons, Black Helmet, Airtanks",5,10753,6307-1,Firemen,1983,67
fig-005106,1,"Man - Black Jacket, Blue Legs, Blue Hat",4,8561,7824-1,Railway Station,1983,235
fig-005107,1,"Woman -Blue Jacket, Blue Legs, Red Hair",4,8561,7824-1,Railway Station,1983,235
fig-005108,1,"Man - Black Jacket, Black Legs, Light Gray Cowboy Hat",4,8561,7824-1,Railway Station,1983,235
fig-005109,1,"Woman - White Torso, Yellow Necklace, Blue Legs",4,8561,7824-1,Railway Station,1983,235
fig-007992,1,"Man, Red Torso, Blue Legs, Black Hair (3626a Head)",4,10619,6384-1,Police Station,1983,67
fig-004974,1,"Man - Black Torso, Blue Legs, Brown Hair",4,11033,7815-1,Passenger Carriage / Sleeper,1983,234
fig-008860,1,"Woman, Red Jacket with Zipper and Pockets, Red Legs, Black Hair",4,12975,6683-1,Burger Stand,1983,67
fig-004971,1,"Man - Red Jacket, Red Construction Helmet",4,762,7838-1,Freight Loading Depot with Wagon,1983,235
fig-001381,1,"Man, Plain White Torso, Black Legs, Blue Helmet",4,143779,6654-1,Motorcycle Transport,1983,67
fig-004972,1,"Man - Red Jacket, Black Legs. Red Hat",4,762,7838-1,Freight Loading Depot with Wagon,1983,235
fig-005105,1,"Man - Blue Torso, Light grey Legs, Black Hair",4,15905,6374-1,Holiday Home,1983,67
fig-008992,1,"Woman, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Black Pigtails Hair",4,15905,6374-1,Holiday Home,1983,67
fig-004488,2,"Knight (Quartered Shield) - Black Legs, Black Visor",5,3731,6002-2,Castle Figures,1983,189
fig-006592,1,"Knight (Breastplate on Black) - Black Legs, Black Helmet, Red Plume",6,7300,6073-1,Knight's Castle,1984,187
fig-000642,1,"Knight (Black Falcon) - Black Legs, Black Hips, Rounded Shield, Neck-Protector, 3626a",4,15035,6103-2,Knights,1984,202
fig-004477,2,"Knight (Halved Shield) - Black Legs, Chin-Guard",4,3335,15-1,Castle Mini Figures,1984,443
fig-000352,1,"Man, White Torso with Shell Logo, Blue Legs, Red Hat",4,238,6695-1,Shell Tanker,1984,67
fig-006577,1,"Knight (Breastplate on Blue) - Black Legs, Black Helmet, Red Plume",5,15035,6103-2,Knights,1984,202
fig-006575,1,"Knight (Breastplate on Blue) - Black Legs, Black Plume",6,7300,6073-1,Knight's Castle,1984,187
fig-006897,2,"Archer (Black Falcon) - Black Legs, Black Hips, Rounded Shield, Chin-Guard",5,7300,6073-1,Knight's Castle,1984,187
fig-006569,1,"Knight (Breastplate on Red) - Black Legs, Blue Plume",5,4748,6021-1,Jousting Knights,1984,199
fig-004478,2,"Knight (Quartered Shield) - White Legs, Black Visor",5,3335,15-1,Castle Mini Figures,1984,443
fig-004551,1,"Knight (Crusader Axe) - Blue Legs, Neck-Protector",4,15035,6103-2,Knights,1984,202
fig-004479,2,"Knight (Quartered Shield) - Red Legs, Red Visor",5,3335,15-1,Castle Mini Figures,1984,443
fig-006585,1,"Knight (Breastplate on Blue) - Black Legs, Red Plume",5,4748,6021-1,Jousting Knights,1984,199
fig-006566,1,"Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector",4,15035,6103-2,Knights,1984,202
fig-006910,1,"Classic Spaceman, Black with Airtanks (3842a Helmet)",5,131740,6928-1,Uranium Search Vehicle,1984,130
fig-006572,1,"Knight (Breastplate on Red) - Red Legs, Red Plume",6,15807,6080-1,King's Castle,1984,199
fig-006571,1,"Knight (Breastplate on Red) - Red Legs, Blue Plume",6,15807,6080-1,King's Castle,1984,199
fig-000373,1,"Classic Spaceman, Blue with Airtanks (3842a Helmet)",5,6953,6971-1,Inter-Galactic Command Base,1984,130
fig-004565,1,"Knight (Crusader Axe) - Red Legs, Neck-Protector",4,2110,6022-1,Horse Cart,1984,199
fig-008984,1,"Man, Black Jacket with Zipper, White Helmet",4,13464,6391-1,Cargo Center,1984,67
fig-008983,1,"Man, White Top with Large Red Stripe and 2 Blue Stripes, Red Legs, Brown Hair (3626a Head)",4,13464,6391-1,Cargo Center,1984,67
